69779.01,22426.83,29478.26,12159.29,26361.18,412,117,-1557,7516,13984,5024,G
67500,22702.7,30265.49,11780.1,26361.18,2321,-184,-523,6996,14572,5072,G
64921.88,21710.53,28968.48,11780.1,26361.18,420,1270,-49,6648,14336,5584,G
62893.4,21362.56,28347.46,11780.1,26250,-498,-1060,-137,6512,14768,4732,G
63290.82,21191.04,28347.46,11826.92,26472.97,389,126,-301,6512,14488,5320,G
64921.88,21105.88,28842.86,13104.4,26361.18,1006,-703,118,6548,14912,5260,G
70726.26,21191.04,28225.35,13053.01,26250,-757,690,53,6516,15224,5244,G
65340.31,21021.13,28347.46,13311.81,26926.23,326,-1939,-285,6592,15708,5460,G
64921.88,20603.25,27743.73,12159.29,25811.17,3389,760,-1737,6696,14720,6560,G
64507.77,20520.83,27625,12304.27,25811.17,-125,-680,-88,6852,14884,4900,G
63692.31,20438.8,27272.73,12450.81,25702.92,1028,-656,10,6400,16280,3480,G
63290.82,20520.83,27272.73,13416.67,25488.13,689,-900,-545,5332,15068,2900,G
61725,20275.86,26926.23,12159.29,25488.13,1164,1224,-682,5792,15100,3640,G
61343.28,20194.95,26926.23,12304.27,25381.58,96,-864,206,5584,14836,3372,G
67500,21362.56,28470.25,12549.37,26585.37,-176,144,-328,6064,15232,104,G
67500,21276.6,27272.73,12207.45,25381.58,-1143,259,120,7088,15900,1792,G
65340.31,20769.23,27389.5,11968.37,25488.13,1497,-159,-1227,6568,14832,1948,G
63692.31,20686.05,27389.5,12352.94,26029.41,-41,300,-393,6292,15512,1108,G
66622.34,20686.05,27389.5,12598.92,25811.17,-1090,-85,97,6560,15968,1188,G
60591.13,19875,29221.9,12304.27,29607.56,293,-749,-495,6252,15332,2172,G
59853.66,19875,26250,12304.27,28103.93,678,-1015,167,5420,14552,3912,G
60591.13,19795.92,26139.41,12304.27,27272.73,387,-430,-407,5420,15404,2896,G
60220.59,19717.19,26029.41,12015.85,27272.73,381,203,-52,5908,15648,2648,G
