26926.23,8976.56,11826.92,18358.69,59853.66,-177,-147,-217,16144,-2464,1908,F
26926.23,8644.07,11873.91,18286.34,59130.43,254,-256,137,16220,-2456,2020,F
26926.23,8717.16,11780.1,18142.55,58071.43,253,-249,190,15996,-3820,4096,F
27156.59,8680.55,11686.96,17929.18,57725.12,126,-153,-680,15848,-3576,4716,F
27156.59,8680.55,11780.1,18000,55714.29,-159,-328,-17,15748,-4508,4576,F
26585.37,8571.43,11780.1,18000,57042.25,341,-127,-39,15532,-5088,3836,F
26698.37,8607.69,11826.92,17929.18,57042.25,489,-229,-287,15640,-4980,4000,F
27156.59,8680.55,11733.45,17929.18,59853.66,2077,-2169,76,14980,-5880,3104,F
26811.99,8644.07,11733.45,18142.55,58071.43,-402,-139,-70,15508,-4636,4336,F
26926.23,8644.07,11780.1,17858.67,58071.43,573,-476,-180,15636,-4904,4840,F
26698.37,8644.07,11686.96,18071.12,56041.67,-62,-264,-295,15308,-5244,3384,F
26698.37,8680.55,11686.96,17929.18,58071.43,-280,-102,-331,15744,-4940,4020,F
26811.99,8680.55,11780.1,17718.55,57382.08,-41,-698,-178,15452,-4900,4132,F
26926.23,8680.55,11733.45,17788.46,56705.61,179,-168,-240,15516,-5140,4180,F
27041.1,8680.55,11780.1,18000,58421.05,356,-171,-276,15292,-4652,3092,F
27041.1,8680.55,11733.45,17858.67,58421.05,257,-290,-250,15568,-5324,3860,F
27272.73,8717.16,11873.91,17929.18,57725.12,370,-447,-359,15524,-5416,4008,F
27041.1,8717.16,11968.37,17929.18,57382.08,43,-43,-281,15608,-5380,4032,F
27506.93,8717.16,11968.37,17858.67,56372.09,-110,-386,-174,15484,-5348,4140,F
27743.73,8753.87,11873.91,18000,60965.34,186,-1645,82,15480,-4840,3696,F
