55714.29,21276.6,28968.48,12304.27,64921.88,162,-231,-484,15776,-1724,6600,D
54434.39,21021.13,28347.46,12111.31,63290.82,206,-149,-410,15464,-2116,6352,D
44941.41,17788.46,23076.92,11968.37,65340.31,173,-236,-123,15328,-2240,6984,D
44941.41,17858.67,23362.5,12015.85,63692.31,560,-429,-367,15448,-2480,7232,D
44019.23,17441.86,22610.29,11873.91,66622.34,198,-80,-223,15704,-2108,6392,D
44019.23,17510.59,22888.89,11921.05,66190.48,123,-564,-285,15804,-1996,6500,D
42687.97,16836.1,21975.9,11733.45,60965.34,-486,465,-1,16428,-1100,7008,D
44247.11,17579.62,22795.56,11826.92,58071.43,-333,-309,288,16084,-2572,5844,D
43346.01,17718.55,22518.34,11873.91,56041.67,-299,-141,-1074,15376,-3496,6092,D
40000,16062.75,21448.93,11733.45,59490.29,-511,-57,-193,15768,-2528,6136,D
41003.65,16189.02,21191.04,12063.49,52008.73,-1229,361,-692,15468,-3224,5620,D
41623.61,16380.37,21021.13,11780.1,48937.5,265,-662,-5,16344,-1628,2420,D
40800,16062.75,21105.88,11780.1,45176.47,-2472,310,-972,16788,-2948,2012,D
40800,15813.25,20769.23,11733.45,46875,-1246,155,-517,16044,-2096,3496,D
41415.44,15386.14,20438.8,11780.1,47889.34,-703,100,-767,16292,-2628,3748,D
39031.69,16000,21448.93,11594.46,51428.57,-355,55,287,16300,-1816,3804,D
48148.15,16639.18,21887.02,11968.37,53200,1026,-721,-308,16172,-2680,2804,D
51428.57,18799.56,22610.29,11826.92,62110.55,-1315,499,7,16392,-2596,4388,D
44247.11,17035.49,22154.96,11921.05,65763.16,691,-198,-473,16364,-1804,4340,D
