32803.74,10964.47,14007.56,13104.4,44247.11,-395,1412,10,14952,-3704,8084,C
28593.75,9591.35,13682.25,13364.14,37551.38,231,-319,-165,15148,-2632,8068,C
30805.97,8976.56,13682.25,13155.96,43346.01,48,-59,-355,15048,-2520,8380,C
33560.13,9591.35,13469.39,13311.81,32953.12,29,-142,-283,15112,-2720,8400,C
33254.72,10405.63,13628.73,13207.72,38096.89,43,-194,-312,15064,-2768,8068,C
33103.45,9591.35,13311.81,12950.82,59490.29,206,-237,-210,15128,-2880,8072,C
30943.12,9630.82,13682.25,12598.92,65340.31,196,-345,-178,15036,-2704,8116,C
27983.19,9395.87,13416.67,12549.37,40397.11,160,-224,-211,15112,-2812,8280,C
31081.08,10321.78,13469.39,12849.36,40197.84,371,-8,-8,14536,-2988,9592,C
31359.52,9512.78,13735.96,13053.01,50297.87,309,-126,-103,14808,-2832,8868,C
31500,9434.71,13416.67,12549.37,45176.47,314,-317,162,15048,-2428,8572,C
27506.93,9830.1,13522.3,12950.82,50576.93,447,-519,-87,14996,-2680,8380,C
27983.19,10363.64,13416.67,12549.37,41415.44,162,-247,-350,15060,-2784,8228,C
31500,10280.06,13364.14,12698.56,40397.11,318,-364,-221,15144,-2748,8244,C
27389.5,9395.87,13364.14,12549.37,40397.11,201,-215,-228,15068,-2864,8252,C
27389.5,9395.87,13416.67,12549.37,41415.44,73,-126,-288,15308,-2268,7812,C
27389.5,9203.47,13575.42,12648.65,46380,-87,-183,-441,14992,-2988,8480,C
28347.46,9830.1,13522.3,12698.56,43568.71,-17,-176,-241,14976,-3012,8656,C
27506.93,9789.98,13575.42,12648.65,42044.61,265,258,-413,15260,-3076,6940,C
29221.9,10280.06,13522.3,12598.92,42044.61,39,-257,-293,15012,-2900,8624,C
27506.93,9789.98,13416.67,12900,48409.09,-6,-146,-355,15140,-2864,8084,C
35147.06,16252.54,27041.1,15937.5,36666.67,-5306,4227,3522,15672,-4904,8396,C
36666.67,20357.14,31081.08,20034.25,46135.45,202,41,-112,13828,-6916,7932,C
41003.65,18577.68,30399.41,18799.56,48409.09,1215,-1075,30,13564,-10892,2948,C
35476.97,17237.39,29221.9,18142.55,55068.49,-31,737,169,13892,-3424,13804,C
39222.61,17718.55,28842.86,18577.68,52302.63,-729,127,-744,14096,-6736,8020,C
39414.89,17441.86,29221.9,17929.18,44019.23,478,-719,52,14172,-6928,7320,C
39222.61,17305.27,28842.86,17788.46,55068.49,-62,-79,-228,14304,-6244,7356,C
41003.65,17169.81,26698.37,17510.59,44708.17,50,-511,-27,14388,-6508,7420,C
37193.88,16380.37,26029.41,16836.1,55068.49,-15,-93,-89,14320,-6348,7200,C
39222.61,16189.02,26472.97,16639.18,47889.34,-8,-262,-313,14428,-6624,7016,C
36150,16252.54,25275.59,16836.1,46626.5,22,-296,-381,14304,-6680,7232,C
39222.61,16125.76,26029.41,16639.18,37551.38,-473,-154,-356,14672,-6368,7048,C
37913.79,16000,25381.58,16770.19,35980.07,201,-483,-398,14564,-6496,6908,C
36321.07,16125.76,24960.94,16639.18,40197.84,-29,-221,-267,14468,-6572,6816,C
40197.84,16000,24548.97,16509.24,44019.23,-443,233,-527,14504,-6456,6212,C
37551.38,16062.75,24548.97,16770.19,49746.84,425,-807,-46,15000,-6504,5668,C
40197.84,15628.74,24346.15,15937.5,31081.08,122,-368,-168,14724,-6636,5368,C
37551.38,15266.27,23750,15813.25,43793.11,1028,215,1966,14848,-5488,6768,C
36666.67,16509.24,23848.1,16125.76,58071.43,1093,-846,409,15400,-2912,7660,C
