35980.07,14340.34,20275.86,17035.49,61725,820,641,1520,14212,-2788,3844,O
35476.97,14340.34,20520.83,17305.27,60220.59,-955,32,91,15532,-3184,6292,O
34500,14173,20114.41,17169.81,60965.34,349,-47,101,15292,-3768,6900,O
35811.26,14396.55,20603.25,17648.94,59130.43,125,-525,-58,15396,-3840,6736,O
35147.06,14173,20357.14,17510.59,58774.04,1054,-108,-265,15496,-3408,6812,O
35147.06,14173,20438.8,17237.39,61725,509,-741,-365,15756,-3260,6572,O
33103.45,13207.72,18725.27,16316.32,57042.25,-1768,479,337,15920,-3304,5300,O
33406.94,13469.39,19100,16574.07,60965.34,997,37,-870,14744,-5900,4836,O
33560.13,13469.39,19024.39,16574.07,59490.29,-344,-487,-409,15756,-3556,6160,O
33560.13,13469.39,19024.39,16639.18,59130.43,-2104,713,-368,14532,-4312,5608,O
33560.13,13469.39,19024.39,16639.18,58071.43,-457,525,-701,14548,-4636,5116,O
33560.13,13469.39,19100,16639.18,59490.29,-111,-452,-184,15492,-3724,5836,O
33714.29,13469.39,18949.11,16639.18,58774.04,-44,-132,-254,15288,-3836,6024,O
33869.43,13522.3,19252.23,16704.55,58774.04,-463,-204,-464,15740,-3716,6000,O
35476.97,13843.99,19328.86,16770.19,59130.43,656,-189,-231,15324,-3972,6176,O
34500,13735.96,19175.95,16704.55,57725.12,68,-19,-113,15216,-4008,6776,O
34500,13735.96,19252.23,16704.55,57382.08,115,-228,-207,15316,-4068,6772,O
35311.48,13952.83,19252.23,16509.24,54434.39,444,-198,-155,15076,-4252,7064,O
35147.06,13898.31,19175.95,16509.24,56705.61,-39,-467,-113,15324,-4000,6904,O
35147.06,13898.31,19175.95,16509.24,55714.29,19,-582,-219,15316,-4392,6700,O
35147.06,13898.31,19175.95,16574.07,55714.29,-275,129,-378,15244,-4448,6296,O
34983.71,13843.99,19175.95,16509.24,55389.91,-50,-178,-170,15188,-4292,6696,O
34983.71,13843.99,19252.23,16509.24,56041.67,71,-430,-116,15372,-4164,7228,O
34983.71,13843.99,19175.95,16509.24,55068.49,146,-927,-47,15320,-4024,6492,O
