48937.5,18725.27,23458.65,19252.23,38466.9,335,-243,-204,15980,-2752,3580,A
48937.5,18142.55,25488.13,18725.27,38466.9,132,358,-96,16224,-2380,3728,A
59130.43,18142.55,23555.27,19024.39,39608.54,-126,252,-100,16148,-2460,4704,A
48937.5,18214.29,23076.92,19024.39,38281.25,39,-390,-342,16180,-2656,5308,A
48937.5,19024.39,21975.9,18000,38281.25,379,-335,-236,15992,-2872,4920,A
48672.2,18142.55,23458.65,19175.95,32803.74,254,-548,-424,15748,-3068,5052,A
48409.09,17858.67,23750,19100,38466.9,96,113,-147,16072,-2508,5032,A
51142.25,18000,23458.65,18358.69,30399.41,-319,-1352,-1048,16088,-2812,5764,A
62500,21362.56,28717.95,24651.16,41623.61,427,-1914,284,16188,-3544,4612,A
58774.04,20520.83,28842.86,24045.8,39608.54,-30,-587,-369,16228,-2804,3896,A
57382.08,20520.83,33103.45,23652.39,39803.57,492,-328,-350,16004,-3332,3424,A
56705.61,20275.86,27041.1,23076.92,30669.64,261,-146,-83,16132,-3140,3484,A
56705.61,20114.41,28717.95,25170.16,46626.5,454,-279,-97,16024,-2896,4536,A
56372.09,20114.41,26698.37,23555.27,42044.61,307,-760,-224,15924,-3720,4380,A
55714.29,20034.25,26472.97,23458.65,41623.61,-77,177,-102,15952,-3108,4056,A
56372.09,20034.25,26585.37,25065.28,41415.44,257,175,314,16100,-3828,5052,A
58421.05,20034.25,27156.59,23946.7,39803.57,923,-347,11,15836,-3500,3428,A
54750,19717.19,28717.95,21798.56,40000,880,34,75,16404,-3788,3836,A
63692.31,21622.91,28347.46,23555.27,39803.57,1234,-914,-574,15648,-3916,2900,A
60965.34,20769.23,26472.97,23750,41415.44,538,-268,-141,15780,-3344,3380,A
58421.05,20357.14,25920,23362.5,38281.25,361,-894,-346,16320,-4104,2784,A
51428.57,19560.81,26029.41,23458.65,36321.07,1114,1102,-461,16400,-3732,2932,A
59853.66,21975.9,33103.45,23171.64,36321.07,2591,-1816,-208,15728,-3212,3260,A
51428.57,19175.95,26361.18,23171.64,35980.07,440,-919,359,16872,-1228,2680,A
43346.01,19954.44,26472.97,23555.27,34182.7,1305,-1033,233,15848,-3416,3920,A
59853.66,20603.25,26361.18,21276.6,36666.67,653,-1939,-265,16344,-2396,1388,A
60220.59,20194.95,25920,23076.92,37731.96,-110,-701,-326,16332,-3160,1684,A
58071.43,19875,26472.97,23076.92,35811.26,-33,-146,-1547,15236,-6724,2140,A
55714.29,20034.25,25811.17,22518.34,45413.38,392,387,-147,16288,-2684,1928,A
56372.09,20114.41,24245.52,25275.59,37913.79,544,613,-444,16404,-1964,2504,A
56705.61,21975.9,24857.14,22518.34,36321.07,-14,-283,-47,16244,-2232,2028,A
55714.29,20034.25,25595.24,25065.28,36841.21,68,-158,-177,16320,-2572,2808,A
55389.91,20034.25,25702.92,22610.29,37913.79,581,-30,-59,16260,-2628,3096,A
51428.57,20034.25,25595.24,22518.34,37372.02,5,369,-442,16164,-2468,2672,A
59130.43,20194.95,26250,22518.34,36666.67,192,15,-122,16128,-2452,3212,A
44708.17,19875,25702.92,22518.34,37551.38,393,-404,-136,16324,-2696,3424,A
65340.31,19954.44,25488.13,22426.83,37551.38,260,-244,-282,16240,-2676,2908,A
65763.16,17858.67,23946.7,20114.41,38281.25,297,-12,-148,16192,-2512,3796,A
59130.43,18725.27,24651.16,20275.86,38466.9,147,713,-98,16140,-2780,3632,A
66622.34,18577.68,24346.15,20275.86,38281.25,80,-303,-258,16116,-2844,4384,A
